Area,WebPage,有专门页面吗？
北京,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdyqtb/,TRUE
天津,http://wsjk.tj.gov.cn/col/col87/index.html,TRUE
广西,http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/,TRUE
广东,http://wsjkw.gd.gov.cn/xxgzbdfk/yqtb/,TRUE
上海,http://wsjkw.sh.gov.cn/yqtb/index.html,TRUE
重庆,http://wsjkw.cq.gov.cn/yqxxyqtb/,TRUE
河南,http://hnwsjsw.gov.cn/channels/854.shtml,TRUE
河北,http://www.hebwst.gov.cn/index.do?cid=3714&templet=zt_gzfy_list,TRUE
山东,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/,TRUE
黑龙江,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/all/typeid/42,TRUE
吉林,http://www.jl.gov.cn/szfzt/jlzxd/yqtb/,TRUE
辽宁,http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/,TRUE
浙江,http://www.zjwjw.gov.cn/col/col1202101/index.html,FALSE
江苏,http://wjw.jiangsu.gov.cn/col/col7290/index.html,FALSE
安徽,http://wjw.ah.gov.cn/news_list_477_1.html,TRUE
福建,http://wjw.fujian.gov.cn/ztzl/gzbufk/yqtb/,TRUE
江西,http://hc.jiangxi.gov.cn/ztxx/xxgzbdgrdfyyqfk/xibd_gzdt/index.shtml,TRUE
湖北,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/index.shtml,TRUE
湖南,http://searching.hunan.gov.cn/hunan/123000000/news?q=%E6%B9%96%E5%8D%97%E7%9C%81%E6%96%B0%E5%9E%8B%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E6%84%9F%E6%9F%93%E7%9A%84%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E4%BF%A1%E6%81%AF%E5%8F%91%E5%B8%83&sm=&searchfields=&timetype=&websiteName=&channelName=&whlx=&publishedYear=&site_name=&org_name2=&iszq=,FALSE
海南,http://wst.hainan.gov.cn/swjw/rdzt/yqfk/index.html,TRUE
四川,http://wsjkw.sc.gov.cn/scwsjkw/gzbd01/ztwzlmgl.shtml,TRUE
山西,http://wjw.shanxi.gov.cn/wjywl02/index.hrh,FALSE
贵州,http://www.gzhfpc.gov.cn/ztzl_500663/xxgzbdgrdfyyqfk/yqdt/,TRUE
云南,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/col?id=UU157976428326282067&cn=xxgzbd&pcn=ztlm&pid=UU145102906505319731,TRUE
陕西,http://sxwjw.shaanxi.gov.cn/col/col9/index.html,FALSE
甘肃,http://wsjk.gansu.gov.cn/channel/11218/index.html,TRUE
青海,https://wsjkw.qinghai.gov.cn/ztbd/yqjk/yqtb/index.html,TRUE
内蒙古,http://wjw.nmg.gov.cn/xwzx/xwfb/index.shtml,TRUE
宁夏,http://wsjkw.nx.gov.cn/yqfkdt/yqsd1.htm,TRUE
新疆,http://www.xjhfpc.gov.cn/ztzl/fkxxgzbdfygz/yqtb.htm,TRUE
西藏,暂无,
香港,暂无,
澳门,暂无,
台湾,暂无,
